Time (s),Filtered EMG Relaxed
0.0,9.52471398562404e-07
0.09765625,9.524772572164877e-07
0.1953125,9.524948341402073e-07
0.29296875,9.525241322161239e-07
0.390625,9.525651562526901e-07
0.48828125,9.52617912982057e-07
0.5859375,9.526824110665101e-07
0.68359375,9.527586610988038e-07
0.78125,9.528466756087385e-07
0.87890625,9.529464690673661e-07
0.9765625,9.530580578925178e-07
1.07421875,9.531814604561902e-07
1.171875,9.533166970916947e-07
1.26953125,9.534637901028499e-07
1.3671875,9.536227637696698e-07
1.46484375,9.537936443634092e-07
1.5625,9.539764601530271e-07
1.66015625,9.541712414170753e-07
1.7578125,9.543780204586103e-07
1.85546875,9.545968316279803e-07
1.953125,9.548277113112878e-07
2.05078125,9.55070697955562e-07
2.1484375,9.553258321469067e-07
2.24609375,9.55593156354992e-07
2.34375,9.558727156100704e-07
2.44140625,9.561645563555277e-07
2.5390625,9.564687281767228e-07
2.63671875,9.567852818108087e-07
2.734375,9.571142709016257e-07
2.83203125,9.574557519111921e-07
2.9296875,9.578097813586532e-07
3.02734375,9.581764209630335e-07
3.125,9.585557287112406e-07
3.22265625,9.589477722344707e-07
3.3203125,9.593526238948393e-07
3.41796875,9.597703460456584e-07
3.515625,9.602010153103695e-07
3.61328125,9.606447026711856e-07
3.7109375,9.611014811429279e-07
3.80859375,9.615714659519354e-07
3.90625,9.620546627396812e-07
4.00390625,9.625511986637813e-07
4.1015625,9.630611971615505e-07
4.19921875,9.635846758444471e-07
4.296875,9.64121789077169e-07
4.39453125,9.646726624614638e-07
4.4921875,9.652371830847228e-07
4.58984375,9.65815723195561e-07
4.6875,9.664083599562006e-07
4.78515625,9.670148620774655e-07
4.8828125,9.67635715394839e-07
4.98046875,9.682709516077035e-07
5.078125,9.68920533131537e-07
5.17578125,9.695850278029506e-07
5.2734375,9.702636226326273e-07
5.37109375,9.709573367608926e-07
5.46875,9.716664358035756e-07
5.56640625,9.723894595850492e-07
5.6640625,9.731288928708378e-07
5.76171875,9.738828929629141e-07
5.859375,9.746528130376614e-07
5.95703125,9.754383335543094e-07
6.0546875,9.762394242114683e-07
6.15234375,9.77056912316901e-07
6.25,9.778887935111409e-07
6.34765625,9.787387172332483e-07
6.4453125,9.79604378077211e-07
6.54296875,9.804863110733268e-07
6.640625,9.81383712998769e-07
6.73828125,9.82304112549044e-07
6.8359375,9.83234167290413e-07
6.93359375,9.841872210070437e-07
7.03125,9.8515271769844e-07
7.12890625,9.861407351900564e-07
7.2265625,9.87152120741177e-07
7.32421875,9.88169120362129e-07
7.421875,9.892146948326824e-07
7.51953125,9.902704742148136e-07
7.6171875,9.91337555364929e-07
7.71484375,9.92437133333236e-07
7.8125,9.935346461050442e-07
7.91015625,9.946866584117904e-07
8.0078125,9.958332448158828e-07
8.10546875,9.970231853318305e-07
8.203125,9.98218260625437e-07
8.30078125,9.994066244222616e-07
8.3984375,1.0006641170789127e-06
8.49609375,1.0019047832174388e-06
8.59375,1.0032224944782465e-06
8.69140625,1.0044873839414965e-06
8.7890625,1.005806296671597e-06
8.88671875,1.0071336760920418e-06
8.984375,1.0085160607640226e-06
9.08203125,1.0099548022073444e-06
9.1796875,1.0113226881021849e-06
9.27734375,1.0127856103003127e-06
9.375,1.0142233277867079e-06
9.47265625,1.0156782306468232e-06
9.5703125,1.0172025598372955e-06
9.66796875,1.0187471099758563e-06
9.765625,1.0202682064015572e-06
9.86328125,1.0218507641413146e-06
9.9609375,1.0234776656019226e-06
10.05859375,1.0251050074604753e-06
10.15625,1.0267521898245298e-06
10.25390625,1.0284478003731135e-06
10.3515625,1.030070434239798e-06
10.44921875,1.0319031179465892e-06
10.546875,1.0337036205967433e-06
10.64453125,1.0354210187021468e-06
10.7421875,1.037443500490366e-06
10.83984375,1.0392270459588698e-06
10.9375,1.0409831407557523e-06
11.03515625,1.0428098916010275e-06
11.1328125,1.0447481910917476e-06
11.23046875,1.0471659691437479e-06
11.328125,1.0486017369857868e-06
11.42578125,1.0509091743524339e-06
11.5234375,1.0529234429504201e-06
11.62109375,1.0548608988930515e-06
11.71875,1.0571409216421112e-06
11.81640625,1.0594121953674976e-06
11.9140625,1.0614054214338712e-06
12.01171875,1.063834103987835e-06
12.109375,1.0662371141886855e-06
12.20703125,1.0684277828945104e-06
12.3046875,1.0708051013863535e-06
12.40234375,1.0730473586958494e-06
12.5,1.07627008045407e-06
12.59765625,1.077886991127703e-06
12.6953125,1.0806142558684695e-06
12.79296875,1.0827084878684004e-06
12.890625,1.0855140157170053e-06
12.98828125,1.0882947916687876e-06
13.0859375,1.0912854619410514e-06
13.18359375,1.0938098176842812e-06
13.28125,1.096000371783916e-06
13.37890625,1.0988975676465838e-06
13.4765625,1.102557507111905e-06
13.57421875,1.1044957428853834e-06
13.671875,1.1079586275411365e-06
13.76953125,1.1116411296506446e-06
13.8671875,1.1142912974261602e-06
13.96484375,1.1171164358357804e-06
14.0625,1.122419360963053e-06
14.16015625,1.1249386029014725e-06
14.2578125,1.1263875287127346e-06
14.35546875,1.1307117586398651e-06
14.453125,1.1357633089958984e-06
14.55078125,1.1371778347654486e-06
14.6484375,1.1408790526117755e-06
